time,time (ms),queue,,time (s)
5538487614638,155429.511801,93,5383058102837,155.429511801
5538488318347,155430.21551,94,5383058102837,155.43021551
5539485036538,156426.933701,93,5383058102837,156.426933701
5539485766480,156427.663643,94,5383058102837,156.427663643
5539987300479,156929.197642,93,5383058102837,156.929197642
5539987917694,156929.814857,93,5383058102837,156.929814857
5539988532233,156930.429396,93,5383058102837,156.930429396
5540990061697,157931.95886,93,5383058102837,157.93195886
5540990900396,157932.797559,93,5383058102837,157.932797559
5540991382901,157933.280064,93,5383058102837,157.933280064
5540992056308,157933.953471,93,5383058102837,157.933953471
5540992782326,157934.679489,93,5383058102837,157.934679489
5540993563717,157935.46088,93,5383058102837,157.93546088
5540994623697,157936.52086,93,5383058102837,157.93652086
5541489944830,158431.841993,93,5383058102837,158.431841993
5541490952097,158432.84926,93,5383058102837,158.43284926
5541991843959,158933.741122,93,5383058102837,158.933741122
5541992969794,158934.866957,93,5383058102837,158.934866957
5541993855906,158935.753069,93,5383058102837,158.935753069
5541994564787,158936.46195,93,5383058102837,158.93646195
5541995286546,158937.183709,93,5383058102837,158.937183709
5542493592226,159435.489389,93,5383058102837,159.435489389
5542494250424,159436.147587,93,5383058102837,159.436147587
5542494960876,159436.858039,93,5383058102837,159.436858039
5542495840101,159437.737264,93,5383058102837,159.437737264
5542497120804,159439.017967,93,5383058102837,159.439017967
5542994721910,159936.619073,92,5383058102837,159.936619073
5542996167827,159938.06499,93,5383058102837,159.93806499
5542997144126,159939.041289,93,5383058102837,159.939041289
5543998731786,160940.628949,92,5383058102837,160.940628949
5543999451293,160941.348456,93,5383058102837,160.941348456
5545001092639,161942.989802,92,5383058102837,161.942989802
5545002391280,161944.288443,93,5383058102837,161.944288443
5545003060577,161944.95774,93,5383058102837,161.94495774
5545003881610,161945.778773,93,5383058102837,161.945778773
5545004841453,161946.738616,92,5383058102837,161.946738616
5545005915604,161947.812767,92,5383058102837,161.947812767
5545006786007,161948.68317,93,5383058102837,161.94868317
5545007598205,161949.495368,93,5383058102837,161.949495368
5545008612250,161950.509413,93,5383058102837,161.950509413
5545012417458,161954.314621,93,5383058102837,161.954314621
5546002729530,162944.626693,92,5383058102837,162.944626693
5546003392703,162945.289866,92,5383058102837,162.945289866
5546004238073,162946.135236,93,5383058102837,162.946135236
5546005371887,162947.26905,92,5383058102837,162.94726905
5546006114668,162948.011831,93,5383058102837,162.948011831
5546503679199,163445.576362,92,5383058102837,163.445576362
5546504162455,163446.059618,92,5383058102837,163.446059618
5547505515047,164447.41221,92,5383058102837,164.44741221
5547506145377,164448.04254,92,5383058102837,164.44804254
5547506919237,164448.8164,93,5383058102837,164.4488164
5547507804590,164449.701753,91,5383058102837,164.449701753
5547509027432,164450.924595,93,5383058102837,164.450924595
5547509655204,164451.552367,92,5383058102837,164.451552367
5547510314002,164452.211165,92,5383058102837,164.452211165
5547510940782,164452.837945,93,5383058102837,164.452837945
5548507434095,165449.331258,92,5383058102837,165.449331258
5548508551136,165450.448299,93,5383058102837,165.450448299
5549008138534,165950.035697,92,5383058102837,165.950035697
5549008686605,165950.583768,92,5383058102837,165.950583768
5549009190713,165951.087876,92,5383058102837,165.951087876
5550022321401,166964.218564,92,5383058102837,166.964218564
5550023432926,166965.330089,92,5383058102837,166.965330089
5550024429860,166966.327023,92,5383058102837,166.966327023
5550025106101,166967.003264,92,5383058102837,166.967003264
5550025556375,166967.453538,92,5383058102837,166.967453538
5550026161290,166968.058453,92,5383058102837,166.968058453
5550026729057,166968.62622,92,5383058102837,166.96862622
5550510877093,167452.774256,92,5383058102837,167.452774256
5550511376334,167453.273497,91,5383058102837,167.453273497
5551023628872,167965.526035,92,5383058102837,167.965526035
5551024695365,167966.592528,92,5383058102837,167.966592528
5551025582219,167967.479382,92,5383058102837,167.967479382
5551026106077,167968.00324,92,5383058102837,167.96800324
5551026683333,167968.580496,92,5383058102837,167.968580496
5551524653166,168466.550329,92,5383058102837,168.466550329
5551525313442,168467.210605,92,5383058102837,168.467210605
5551525935616,168467.832779,92,5383058102837,168.467832779
5551527031746,168468.928909,92,5383058102837,168.468928909
5551527811949,168469.709112,92,5383058102837,168.469709112
5552025945244,168967.842407,91,5383058102837,168.967842407
5552026724979,168968.622142,92,5383058102837,168.968622142
5552027485338,168969.382501,92,5383058102837,168.969382501
5553027982370,169969.879533,91,5383058102837,169.969879533
5553028965591,169970.862754,92,5383058102837,169.970862754
5554030644483,170972.541646,91,5383058102837,170.972541646
5554031210042,170973.107205,92,5383058102837,170.973107205
5554031732357,170973.62952,91,5383058102837,170.97362952
5554032279230,170974.176393,92,5383058102837,170.974176393
5554032787542,170974.684705,91,5383058102837,170.974684705
5554033478244,170975.375407,91,5383058102837,170.975375407
5554034180404,170976.077567,92,5383058102837,170.976077567
5554034610571,170976.507734,92,5383058102837,170.976507734
5554034997420,170976.894583,92,5383058102837,170.976894583
5554035584680,170977.481843,92,5383058102837,170.977481843
5555033200048,171975.097211,91,5383058102837,171.975097211
5555033846352,171975.743515,91,5383058102837,171.975743515
5555034701630,171976.598793,92,5383058102837,171.976598793
5555035584224,171977.481387,91,5383058102837,171.977481387
5555036363669,171978.260832,92,5383058102837,171.978260832
5555533950965,172475.848128,91,5383058102837,172.475848128
5555534653088,172476.550251,91,5383058102837,172.476550251
5556536089239,173477.986402,91,5383058102837,173.477986402
5556536777298,173478.674461,91,5383058102837,173.478674461
5556537283766,173479.180929,92,5383058102837,173.479180929
5556537909819,173479.806982,91,5383058102837,173.479806982
5556538614909,173480.512072,92,5383058102837,173.480512072
5556539606841,173481.504004,91,5383058102837,173.481504004
5556541174138,173483.071301,91,5383058102837,173.483071301
5556541761248,173483.658411,92,5383058102837,173.483658411
5557537892012,174479.789175,91,5383058102837,174.479789175
5557538611365,174480.508528,92,5383058102837,174.480508528
5558038786479,174980.683642,91,5383058102837,174.980683642
5558039691980,174981.589143,91,5383058102837,174.981589143
5558040656013,174982.553176,91,5383058102837,174.982553176
5559040816017,175982.71318,91,5383058102837,175.98271318
5559041921058,175983.818221,91,5383058102837,175.983818221
5559042969023,175984.866186,91,5383058102837,175.984866186
5559043614868,175985.512031,91,5383058102837,175.985512031
5559044044857,175985.94202,91,5383058102837,175.98594202
5561095475937,178037.3731,91,5383058102837,178.0373731
5561098000862,178039.898025,91,5383058102837,178.039898025
5561099154937,178041.0521,91,5383058102837,178.0410521
5561099700430,178041.597593,91,5383058102837,178.041597593
5561100332891,178042.230054,91,5383058102837,178.042230054
5561100999374,178042.896537,91,5383058102837,178.042896537
5561547275159,178489.172322,90,5383058102837,178.489172322
5561548170985,178490.068148,91,5383058102837,178.490068148
5561548724558,178490.621721,91,5383058102837,178.490621721
5561549309217,178491.20638,91,5383058102837,178.49120638
5561549892565,178491.789728,91,5383058102837,178.491789728
5561550432956,178492.330119,91,5383058102837,178.492330119
5561551258891,178493.156054,91,5383058102837,178.493156054
5561552504931,178494.402094,91,5383058102837,178.494402094
5561553051960,178494.949123,90,5383058102837,178.494949123
5561553595276,178495.492439,91,5383058102837,178.495492439
5561554198716,178496.095879,91,5383058102837,178.496095879
5562048757236,178990.654399,90,5383058102837,178.990654399
5566095474772,183037.371935,90,5383058102837,183.037371935
5566096302273,183038.199436,90,5383058102837,183.038199436
5566096896378,183038.793541,91,5383058102837,183.038793541
5566097646217,183039.54338,90,5383058102837,183.03954338
5566098498469,183040.395632,91,5383058102837,183.040395632
5566099495096,183041.392259,90,5383058102837,183.041392259
5566100126904,183042.024067,90,5383058102837,183.042024067
5566100723761,183042.620924,91,5383058102837,183.042620924
5566560737716,183502.634879,90,5383058102837,183.502634879
5566563040631,183504.937794,91,5383058102837,183.504937794
5567063081123,184004.978286,90,5383058102837,184.004978286
5567063817267,184005.71443,90,5383058102837,184.00571443
5567064391463,184006.288626,90,5383058102837,184.006288626
5568065176648,185007.073811,90,5383058102837,185.007073811
5568066120078,185008.017241,90,5383058102837,185.008017241
5568067087926,185008.985089,90,5383058102837,185.008985089
5568067898675,185009.795838,90,5383058102837,185.009795838
5568068387421,185010.284584,90,5383058102837,185.010284584
5571095563813,188037.460976,90,5383058102837,188.037460976
