14:43:32	CPU	%user	%nice	%system	%iowait	%steal	%idle
14:46:47	all	1,77	0,00	0,76	0,00	0,00	97,47
14:46:48	all	3,26	0,00	3,01	0,13	0,00	93,60
14:46:49	all	1,13	0,00	1,64	0,13	0,00	97,10
14:46:50	all	3,28	0,00	2,40	0,00	0,00	94,33
14:46:51	all	1,39	0,00	0,76	0,00	0,00	97,85
14:46:52	all	3,64	0,00	2,38	0,00	0,00	93,98
14:46:53	all	2,14	0,00	2,64	0,00	0,00	95,22
14:46:54	all	2,52	0,00	0,88	0,13	0,00	96,47
14:46:55	all	3,40	0,00	2,52	0,25	0,00	93,83
14:46:56	all	2,39	0,00	1,26	0,00	0,00	96,35
14:46:57	all	3,78	0,00	2,02	0,00	0,00	94,20
14:46:58	all	1,26	0,00	1,01	0,00	0,00	97,72
14:46:59	all	5,18	0,00	1,64	0,13	0,00	93,06
14:47:00	all	1,90	0,00	1,39	0,25	0,00	96,46
14:47:01	all	3,16	0,00	1,52	0,00	0,00	95,32
14:47:02	all	3,64	0,00	2,14	0,00	0,00	94,22
14:47:03	all	1,64	0,00	1,13	0,00	0,00	97,23
14:47:04	all	3,88	0,00	2,76	0,00	0,00	93,36
14:47:05	all	1,51	0,00	1,26	0,38	0,00	96,86
14:47:06	all	3,52	0,00	2,26	0,00	0,00	94,21
14:47:07	all	1,64	0,00	0,88	0,00	0,00	97,48
14:47:08	all	3,14	0,00	2,39	0,00	0,00	94,47
14:47:09	all	2,02	0,00	2,02	0,00	0,00	95,96
14:47:10	all	3,27	0,00	1,01	0,25	0,00	95,47
14:47:11	all	3,27	0,00	2,52	0,13	0,00	94,08
14:47:12	all	1,01	0,00	1,26	0,00	0,00	97,72
14:47:13	all	3,39	0,00	2,76	0,00	0,00	93,85
14:47:14	all	1,39	0,00	0,76	0,00	0,00	97,85
14:47:15	all	3,52	0,00	2,51	0,25	0,00	93,72
14:47:16	all	1,51	0,00	1,13	0,00	0,00	97,35
14:47:17	all	3,02	0,00	2,76	0,13	0,00	94,10
14:47:18	all	2,39	0,00	2,52	0,00	0,00	95,09
14:47:19	all	2,02	0,00	1,26	0,00	0,00	96,72
14:47:20	all	3,16	0,00	2,40	0,13	0,00	94,32
14:47:21	all	1,25	0,00	1,63	0,13	0,00	96,99
14:47:22	all	3,15	0,00	2,14	0,00	0,00	94,70
14:47:23	all	1,14	0,00	1,01	0,13	0,00	97,73
14:47:24	all	3,15	0,00	2,40	0,00	0,00	94,45
14:47:25	all	1,65	0,00	1,52	0,13	0,00	96,71
14:47:26	all	3,03	0,00	1,64	0,00	0,00	95,33
14:47:27	all	3,27	0,00	2,39	0,00	0,00	94,33
14:47:28	all	1,64	0,00	1,26	0,00	0,00	97,11
14:47:29	all	3,42	0,00	1,90	0,00	0,00	94,68
14:47:30	all	1,64	0,00	1,13	0,38	0,00	96,85
14:47:31	all	3,16	0,00	2,27	0,00	0,00	94,57
14:47:32	all	0,89	0,00	1,01	0,00	0,00	98,10
14:47:33	all	3,15	0,00	2,39	0,00	0,00	94,46
14:47:34	all	1,90	0,00	2,15	0,00	0,00	95,95
14:47:35	all	2,64	0,00	1,26	0,25	0,00	95,84
14:47:36	all	4,15	0,00	2,01	0,25	0,00	93,59
14:47:37	all	1,65	0,00	0,63	0,00	0,00	97,72
14:47:38	all	3,53	0,00	2,14	0,00	0,00	94,33
14:47:39	all	1,38	0,00	1,51	0,00	0,00	97,11
14:47:40	all	3,03	0,00	2,15	0,38	0,00	94,44
14:47:41	all	1,51	0,00	1,39	0,00	0,00	97,10
14:47:42	all	3,03	0,00	1,64	0,00	0,00	95,32
14:47:43	all	3,15	0,00	2,14	0,00	0,00	94,70
14:47:44	all	1,89	0,00	1,13	0,13	0,00	96,86
14:47:45	all	3,30	0,00	1,90	0,13	0,00	94,68
14:47:46	all	1,39	0,00	1,13	0,00	0,00	97,48
14:47:47	all	3,15	0,00	2,40	0,00	0,00	94,45
14:47:48	all	1,39	0,00	0,88	0,00	0,00	97,73
14:47:49	all	3,40	0,00	2,14	0,00	0,00	94,45
14:47:50	all	1,64	0,00	2,27	0,25	0,00	95,84
14:47:51	all	3,03	0,00	1,14	0,00	0,00	95,83
14:47:52	all	3,51	0,00	2,51	0,13	0,00	93,85
14:47:53	all	1,51	0,00	1,26	0,00	0,00	97,23
14:47:54	all	4,01	0,00	2,26	0,00	0,00	93,73
14:47:55	all	1,52	0,00	0,76	0,25	0,00	97,47
14:47:56	all	3,53	0,00	2,27	0,00	0,00	94,20
14:47:57	all	1,14	0,00	1,39	0,00	0,00	97,47
14:47:58	all	3,76	0,00	2,51	0,00	0,00	93,73
14:47:59	all	2,27	0,00	2,40	0,00	0,00	95,33
14:48:00	all	2,90	0,00	0,88	0,38	0,00	95,84
14:48:01	all	3,16	0,00	2,27	0,00	0,00	94,57
14:48:02	all	1,64	0,00	1,38	0,00	0,00	96,98
14:48:03	all	3,90	0,00	2,02	0,00	0,00	94,08
14:48:04	all	1,01	0,00	1,39	0,00	0,00	97,61
14:48:05	all	2,90	0,00	2,53	0,25	0,00	94,32
14:48:06	all	1,64	0,00	1,51	0,13	0,00	96,72
14:48:07	all	3,39	0,00	1,88	0,00	0,00	94,72
14:48:08	all	3,27	0,00	2,01	0,00	0,00	94,72
14:48:09	all	1,76	0,00	1,26	0,00	0,00	96,98
14:48:10	all	3,28	0,00	2,27	0,25	0,00	94,19
14:48:11	all	3,39	0,00	1,51	0,00	0,00	95,10
14:48:12	all	5,93	0,00	3,03	0,00	0,00	91,04
14:48:13	all	1,38	0,00	1,38	0,00	0,00	97,24
14:48:14	all	3,52	0,00	2,51	0,00	0,00	93,97
14:48:15	all	0,88	0,00	1,14	0,38	0,00	97,60
14:48:16	all	3,53	0,00	2,02	0,00	0,00	94,46
14:48:17	all	1,38	0,00	1,63	0,00	0,00	96,99
14:48:18	all	2,90	0,00	1,64	0,00	0,00	95,45
14:48:19	all	2,90	0,00	2,14	0,00	0,00	94,96
14:48:20	all	1,77	0,00	0,76	0,25	0,00	97,23
14:48:21	all	3,27	0,00	2,51	0,13	0,00	94,10
14:48:22	all	1,26	0,00	1,39	0,00	0,00	97,35
14:48:23	all	3,40	0,00	2,14	0,00	0,00	94,45
14:48:24	all	1,14	0,00	0,63	0,00	0,00	98,23
14:48:25	all	3,88	0,00	2,62	0,25	0,00	93,25
14:48:26	all	1,77	0,00	1,89	0,00	0,00	96,34
14:48:27	all	2,77	0,00	1,38	0,00	0,00	95,85
14:48:28	all	3,40	0,00	2,27	0,13	0,00	94,20
14:48:29	all	1,39	0,00	1,39	0,00	0,00	97,23
14:48:30	all	3,27	0,00	2,52	0,25	0,00	93,95
14:48:31	all	1,26	0,00	0,88	0,00	0,00	97,86
