time,time (ms),replication,
25154146718809,224806.354743,1,24929340364066
25154648391227,225308.027161,2,24929340364066
25155150058572,225809.694506,1,24929340364066
25155651782842,226311.418776,1,24929340364066
25156152927012,226812.562946,1,24929340364066
25156654744327,227314.380261,1,24929340364066
25157156479227,227816.115161,1,24929340364066
25157657340069,228316.976003,1,24929340364066
25158159355274,228818.991208,1,24929340364066
25158661003517,229320.639451,1,24929340364066
25159162772703,229822.408637,1,24929340364066
25159664513455,230324.149389,1,24929340364066
25160167232004,230826.867938,1,24929340364066
25160667767980,231327.403914,1,24929340364066
25161169978051,231829.613985,1,24929340364066
25161671296030,232330.931964,2,24929340364066
25162173214440,232832.850374,1,24929340364066
25162674769346,233334.40528,1,24929340364066
25163176476196,233836.11213,1,24929340364066
25163678073999,234337.709933,1,24929340364066
25164179708778,234839.344712,1,24929340364066
25164681481100,235341.117034,1,24929340364066
25165183081434,235842.717368,1,24929340364066
25165684682460,236344.318394,1,24929340364066
25166186411415,236846.047349,1,24929340364066
25166688121387,237347.757321,1,24929340364066
25167189820485,237849.456419,1,24929340364066
25167691153383,238350.789317,1,24929340364066
25168192834786,238852.47072,1,24929340364066
25168694544968,239354.180902,2,24929340364066
25169196211242,239855.847176,1,24929340364066
25169697892168,240357.528102,1,24929340364066
25170201720818,240861.356752,1,24929340364066
25170703349165,241362.985099,1,24929340364066
25171205040696,241864.67663,1,24929340364066
25171706656410,242366.292344,1,24929340364066
25172208399527,242868.035461,1,24929340364066
25172710027769,243369.663703,1,24929340364066
25173211665408,243871.301342,1,24929340364066
25173713301192,244372.937126,1,24929340364066
25174215061894,244874.697828,1,24929340364066
25174716687491,245376.323425,1,24929340364066
25175218310170,245877.946104,1,24929340364066
25175720051809,246379.687743,2,24929340364066
25176220565961,246880.201895,1,24929340364066
25176722374502,247382.010436,1,24929340364066
25177223822711,247883.458645,1,24929340364066
25177725294684,248384.930618,1,24929340364066
25178226771087,248886.407021,1,24929340364066
25178728420643,249388.056577,1,24929340364066
25179230089146,249889.72508,1,24929340364066
25179731777104,250391.413038,1,24929340364066
25180233517716,250893.15365,1,24929340364066
25180735065666,251394.7016,1,24929340364066
25181236716600,251896.352534,1,24929340364066
25181738448787,252398.084721,1,24929340364066
25182240081339,252899.717273,1,24929340364066
25182741732077,253401.368011,2,24929340364066
25183243517857,253903.153791,1,24929340364066
25183744983490,254404.619424,1,24929340364066
25184246647213,254906.283147,1,24929340364066
25184748332660,255407.968594,1,24929340364066
25185250056975,255909.692909,1,24929340364066
25185751514525,256411.150459,1,24929340364066
25186253008127,256912.644061,1,24929340364066
25186754747426,257414.38336,1,24929340364066
25187256363811,257915.999745,1,24929340364066
25187757949692,258417.585626,1,24929340364066
25188259619258,258919.255192,1,24929340364066
25188761274537,259420.910471,1,24929340364066
25189263002830,259922.638764,1,24929340364066
25189764615367,260424.251301,2,24929340364066
25190266199464,260925.835398,1,24929340364066
25190767666994,261427.302928,1,24929340364066
25191269352654,261928.988588,1,24929340364066
25191770874646,262430.51058,1,24929340364066
25192272375950,262932.011884,1,24929340364066
25192773800420,263433.436354,1,24929340364066
25193275428773,263935.064707,1,24929340364066
25193775961151,264435.597085,1,24929340364066
25194277904793,264937.540727,1,24929340364066
25194778706948,265438.342882,1,24929340364066
25195280206579,265939.842513,1,24929340364066
25195781890542,266441.526476,1,24929340364066
25196283444742,266943.080676,1,24929340364066
25196785109442,267444.745376,2,24929340364066
25197286668286,267946.30422,1,24929340364066
25197788214022,268447.849956,1,24929340364066
25198289767790,268949.403724,1,24929340364066
25198791438934,269451.074868,1,24929340364066
25199292986669,269952.622603,1,24929340364066
25199794497014,270454.132948,1,24929340364066
25200296035072,270955.671006,1,24929340364066
25200797659961,271457.295895,1,24929340364066
25201299130947,271958.766881,1,24929340364066
25201800674302,272460.310236,1,24929340364066
25202302276846,272961.91278,1,24929340364066
25202803914650,273463.550584,1,24929340364066
25203305408846,273965.04478,1,24929340364066
25203807139317,274466.775251,2,24929340364066
25204307749101,274967.385035,1,24929340364066
25204809406725,275469.042659,1,24929340364066
25205310875976,275970.51191,1,24929340364066
25205812508794,276472.144728,1,24929340364066
25206314125729,276973.761663,1,24929340364066
25206815538038,277475.173972,1,24929340364066
25207317149673,277976.785607,1,24929340364066
25207818511431,278478.147365,1,24929340364066
25208320143792,278979.779726,1,24929340364066
25208821841287,279481.477221,1,24929340364066
25209323284244,279982.920178,1,24929340364066
25209824873994,280484.509928,1,24929340364066
25210326413269,280986.049203,1,24929340364066
25210827952971,281487.588905,2,24929340364066
25211329437833,281989.073767,1,24929340364066
25211831051773,282490.687707,1,24929340364066
25212332596726,282992.23266,1,24929340364066
25212833789560,283493.425494,1,24929340364066
25213335341741,283994.977675,1,24929340364066
25213835918290,284495.554224,1,24929340364066
25214337418246,284997.05418,1,24929340364066
25214839129476,285498.76541,1,24929340364066
25215340743015,286000.378949,1,24929340364066
25215842350340,286501.986274,1,24929340364066
25216343814890,287003.450824,1,24929340364066
25216847250739,287506.886673,1,24929340364066
25217349301204,288008.937138,1,24929340364066
25217850643834,288510.279768,2,24929340364066
25218352227069,289011.863003,1,24929340364066
25218853644003,289513.279937,1,24929340364066
25219355264117,290014.900051,1,24929340364066
25219856225728,290515.861662,1,24929340364066
25220357764317,291017.400251,1,24929340364066
25220859337178,291518.973112,1,24929340364066
25221360800888,292020.436822,1,24929340364066
25221862291192,292521.927126,1,24929340364066
25222363859664,293023.495598,1,24929340364066
25222865268143,293524.904077,1,24929340364066
25223366880654,294026.516588,1,24929340364066
25223867444905,294527.080839,1,24929340364066
25224369097517,295028.733451,1,24929340364066
25224870629912,295530.265846,2,24929340364066
25225372192646,296031.82858,1,24929340364066
25225873802036,296533.43797,1,24929340364066
25226375313207,297034.949141,1,24929340364066
25226876664562,297536.300496,1,24929340364066
25227378173569,298037.809503,1,24929340364066
25227879863531,298539.499465,1,24929340364066
25228381314206,299040.95014,1,24929340364066
25228882967805,299542.603739,1,24929340364066
25229384401847,300044.037781,1,24929340364066
