VIR,RES (kB),RES (MB),SHR,time (s)
8984648,165560,165.56,152492,486
8983620,165468,165.468,152400,487
8982592,165376,165.376,152308,488
8981564,165344,165.344,152280,489
8980536,165252,165.252,152188,490
8978480,165068,165.068,152004,491
8977452,164976,164.976,151912,492
8976424,164948,164.948,151884,493
8975396,164856,164.856,151792,494
8974368,164764,164.764,151700,495
8973340,164672,164.672,151608,496
8972312,164580,164.58,151516,497
8971284,164488,164.488,151424,498
8970256,164396,164.396,151332,499
8969228,164236,164.236,151172,500
8968200,164144,164.144,151080,501
8967172,164052,164.052,150988,502
8966144,163964,163.964,150900,503
8965116,163872,163.872,150808,504
8964088,163780,163.78,150716,505
8963060,163688,163.688,150620,506
8962032,163596,163.596,150528,507
8961004,163504,163.504,150436,508
8959976,163412,163.412,150344,509
8958948,163320,163.32,150252,510
8957920,163228,163.228,150164,511
8956892,163136,163.136,150072,512
8955864,163044,163.044,149980,513
8953808,162860,162.86,149796,514
8951752,162676,162.676,149612,515
8949696,162492,162.492,149428,516
8947640,162308,162.308,149244,517
8945584,162124,162.124,149060,518
8943528,161940,161.94,148876,519
8941472,161756,161.756,148692,520
