id,timeInit,timeFinal,time (ns),time (ms),
285,26322977350693,26382303686828,59326336135,59326.336135,59.326336135
286,26322977390073,26383304484234,60327094161,60327.094161,60.327094161
287,26322977429620,26384307171037,61329741417,61329.741417,61.329741417
288,26322977469310,26385309738815,62332269505,62332.269505,62.332269505
289,26322977508327,26386312448049,63334939722,63334.939722,63.334939722
290,26322977547374,26387314882786,64337335412,64337.335412,64.337335412
291,26322977586577,26388317383468,65339796891,65339.796891,65.339796891
292,26322977625625,26389319968049,66342342424,66342.342424,66.342342424
293,26322977665073,26390322682029,67345016956,67345.016956,67.345016956
294,26322977704333,26391325206735,68347502402,68347.502402,68.347502402
295,26322977743341,26392327875402,69350132061,69350.132061,69.350132061
296,26322977798977,26393330443431,70352644454,70352.644454,70.352644454
297,26322977846518,26394332865118,71355018600,71355.0186,71.3550186
298,26322977886509,26395335305317,72357418808,72357.418808,72.357418808
299,26322977926106,26396337905955,73359979849,73359.979849,73.359979849
300,26322977965704,26397340457539,74362491835,74362.491835,74.362491835
301,26372978130754,26568752227405,195774096651,195774.096651,195.774096651
302,26372978287369,26569754693333,196776405964,196776.405964,196.776405964
303,26372978366515,26570757020386,197778653871,197778.653871,197.778653871
304,26372978425625,26571759614779,198781189154,198781.189154,198.781189154
305,26372978484013,26572761972265,199783488252,199783.488252,199.783488252
306,26372978541483,26573764457011,200785915528,200785.915528,200.785915528
307,26372978599721,26574767188761,201788589040,201788.58904,201.78858904
308,26372978655829,26575769623002,202790967173,202790.967173,202.790967173
309,26372978712619,26576772219546,203793506927,203793.506927,203.793506927
310,26372978765960,26577774812847,204796046887,204796.046887,204.796046887
311,26372978818674,26578777369014,205798550340,205798.55034,205.79855034
312,26372978871046,26579779635389,206800764343,206800.764343,206.800764343
313,26372978923800,26580782305034,207803381234,207803.381234,207.803381234
314,26372978976447,26581784790911,208805814464,208805.814464,208.805814464
315,26372979029203,26582787346863,209808317660,209808.31766,209.80831766
316,26372979082143,26583789912577,210810830434,210810.830434,210.810830434
317,26372979134962,26584792441537,211813306575,211813.306575,211.813306575
318,26372979188321,26585795104341,212815916020,212815.91602,212.81591602
319,26372979241636,26491561964067,118582722431,118582.722431,118.582722431
320,26372979294572,26586797625794,213818331222,213818.331222,213.818331222
321,26372979346684,26587800230972,214820884288,214820.884288,214.820884288
322,26372979399151,26588802790898,215823391747,215823.391747,215.823391747
323,26372979451688,26589805326413,216825874725,216825.874725,216.825874725
324,26372979504354,26590807725073,217828220719,217828.220719,217.828220719
325,26372979557308,26592812733277,219833175969,219833.175969,219.833175969
326,26372979610340,26593815331093,220835720753,220835.720753,220.835720753
327,26372979662286,26594817780954,221838118668,221838.118668,221.838118668
328,26372979713961,26595820338935,222840624974,222840.624974,222.840624974
329,26372979785994,26596822981157,223843195163,223843.195163,223.843195163
330,26372979839124,26598828083138,225848244014,225848.244014,225.848244014
331,26372979891497,26599830567658,226850676161,226850.676161,226.850676161
332,26372979944355,26600833182598,227853238243,227853.238243,227.853238243
333,26372979997531,26602838302509,229858304978,229858.304978,229.858304978
334,26372980083448,26603840825025,230860741577,230860.741577,230.860741577
335,26372980138932,26604857036362,231876897430,231876.89743,231.87689743
336,26372980193780,26605859518506,232879324726,232879.324726,232.879324726
337,26372980248711,26606862086234,233881837523,233881.837523,233.881837523
