18:48:38,CPU,%user,%nice,%system,%iowait,%steal,%idle,%real
18:53:36,all,0.16,0,0.28,0,0,99.56,0.44
18:53:37,all,0.13,0,0.19,0,0,99.69,0.31
18:53:38,all,0.16,0,0.25,0,0,99.59,0.41
18:53:39,all,0.13,0,0.19,0,0,99.69,0.31
18:53:40,all,0.16,0,0.13,0,0,99.72,0.28
18:53:41,all,0.22,0,0.19,0,0,99.59,0.41
18:53:42,all,0.22,0,0.16,0,0,99.62,0.38
18:53:43,all,0.13,0,0.19,0,0,99.69,0.31
18:53:44,all,0.22,0,0.22,0,0,99.56,0.44
18:53:45,all,0.19,0,0.25,0,0,99.56,0.44
18:53:46,all,0.19,0,0.16,0,0,99.66,0.34
18:53:47,all,0.13,0,0.22,0,0,99.66,0.34
18:53:48,all,0.13,0,0.25,0,0,99.62,0.38
18:53:49,all,0.13,0,0.25,0,0,99.62,0.38
18:53:50,all,0.22,0,0.13,0,0,99.66,0.34
18:53:51,all,0.09,0,0.16,0,0,99.75,0.25
18:53:52,all,0.19,0,0.22,0,0,99.59,0.41
18:53:53,all,0.22,0,0.28,0,0,99.5,0.5
18:53:54,all,0.19,0,0.22,0,0,99.59,0.41
18:53:55,all,0.16,0,0.38,0,0,99.47,0.53
18:53:56,all,0.16,0,0.19,0,0,99.66,0.34
18:53:57,all,0.13,0,0.19,0,0,99.69,0.31
18:53:58,all,0.09,0,0.25,0,0,99.66,0.34
18:53:59,all,0.19,0,0.28,0,0,99.53,0.47
18:54:00,all,0.13,0,0.19,0,0,99.69,0.31
18:54:01,all,0.16,0,0.22,0,0,99.62,0.38
18:54:02,all,0.22,0,0.13,0,0,99.65,0.35
18:54:03,all,0.22,0,0.25,0,0,99.53,0.47
18:54:04,all,0.25,0,0.19,0,0,99.56,0.44
18:54:05,all,0.13,0,0.25,0,0,99.62,0.38
18:54:06,all,0.19,0,0.25,0,0,99.56,0.44
18:54:07,all,0.16,0,0.19,0,0,99.65,0.35
18:54:08,all,0.25,0,0.19,0,0,99.56,0.44
18:54:09,all,0.25,0,0.19,0,0,99.56,0.44
18:54:10,all,1.04,0,0.72,0,0,98.24,1.76
18:54:11,all,0.16,0,0.28,0,0,99.56,0.44
18:54:12,all,0.09,0,0.25,0,0,99.65,0.35
18:54:13,all,0.13,0,0.16,0,0,99.72,0.28
18:54:14,all,0.19,0,0.28,0,0,99.53,0.47
18:54:15,all,0.19,0,0.25,0,0,99.56,0.44
18:54:16,all,0.19,0,0.22,0,0,99.59,0.41
18:54:17,all,0.16,0,0.25,0,0,99.59,0.41
18:54:18,all,0.19,0,0.25,0,0,99.56,0.44
18:54:19,all,0.22,0,0.25,0,0,99.53,0.47
18:54:20,all,0.16,0,0.22,0,0,99.62,0.38
18:54:21,all,0.19,0,0.22,0,0,99.59,0.41
18:54:22,all,0.28,0,0.19,0,0,99.53,0.47
18:54:23,all,0.19,0,0.19,0,0,99.62,0.38
18:54:24,all,0.28,0,0.25,0,0,99.47,0.53
18:54:25,all,0.19,0,0.16,0,0,99.66,0.34
18:54:26,all,0.13,0,0.16,0,0,99.72,0.28
18:54:27,all,0.19,0,0.31,0,0,99.5,0.5
18:54:28,all,0.16,0,0.31,0,0,99.53,0.47
18:54:29,all,0.22,0,0.22,0,0,99.56,0.44
18:54:30,all,0.16,0,0.19,0,0,99.65,0.35
18:54:31,all,0.16,0,0.22,0,0,99.62,0.38
18:54:32,all,0.13,0,0.25,0,0,99.62,0.38
18:54:33,all,0.16,0,0.25,0,0,99.59,0.41
18:54:34,all,0.22,0,0.22,0,0,99.56,0.44
18:54:35,all,0.22,0,0.31,0,0,99.47,0.53
18:54:36,all,0.13,0,0.25,0,0,99.62,0.38
18:54:37,all,0.16,0,0.19,0,0,99.66,0.34
18:54:38,all,0.16,0,0.25,0,0,99.59,0.41
18:54:39,all,0.31,0,0.25,0,0,99.44,0.56
18:54:40,all,0.13,0,0.19,0,0,99.69,0.31
18:54:41,all,0.13,0,0.34,0,0,99.53,0.47
18:54:42,all,0.13,0,0.25,0,0,99.62,0.38
18:54:43,all,0.13,0,0.22,0,0,99.66,0.34
18:54:44,all,0.25,0,0.22,0,0,99.53,0.47
18:54:45,all,0.19,0,0.25,0,0,99.56,0.44
18:54:46,all,0.16,0,0.22,0.03,0,99.59,0.41
18:54:47,all,0.22,0,0.25,0,0,99.53,0.47
18:54:48,all,0.25,0,0.19,0,0,99.56,0.44
18:54:49,all,0.25,0,0.19,0,0,99.56,0.44
18:54:50,all,0.19,0,0.34,0,0,99.47,0.53
18:54:51,all,0.16,0,0.25,0,0,99.59,0.41
18:54:52,all,0.16,0,0.25,0,0,99.59,0.41
18:54:53,all,0.22,0,0.34,0,0,99.44,0.56
18:54:54,all,0.25,0,0.22,0,0,99.53,0.47
18:54:55,all,0.16,0,0.31,0,0,99.53,0.47
18:54:56,all,0.13,0,0.19,0,0,99.69,0.31
18:54:57,all,0.16,0,0.22,0,0,99.62,0.38
18:54:58,all,0.16,0,0.28,0,0,99.56,0.44
18:54:59,all,0.25,0,0.19,0,0,99.56,0.44
18:55:00,all,0.19,0,0.19,0,0,99.62,0.38
18:55:01,all,0.16,0,0.34,0,0,99.5,0.5
18:55:02,all,0.13,0,0.22,0,0,99.66,0.34
18:55:03,all,0.09,0,0.28,0,0,99.62,0.38
18:55:04,all,0.22,0,0.19,0,0,99.59,0.41
18:55:05,all,0.16,0,0.28,0,0,99.56,0.44
18:55:06,all,0.13,0,0.34,0,0,99.53,0.47
18:55:07,all,0.16,0,0.19,0,0,99.65,0.35
18:55:08,all,1.29,0,1.19,0,0,97.52,2.48
18:55:09,all,0.28,0,0.38,0,0,99.34,0.66
18:55:10,all,0.38,0,0.09,0,0,99.53,0.47
18:55:11,all,0.13,0,0.25,0,0,99.62,0.38
18:55:12,all,0.16,0,0.28,0,0,99.56,0.44
18:55:13,all,0.16,0,0.22,0,0,99.62,0.38
18:55:14,all,0.16,0,0.22,0,0,99.62,0.38
18:55:15,all,0.19,0,0.25,0,0,99.56,0.44
