# time,PE1,PE2,PE3,PE4,total
1865,2,1,5,1,9
1870,2,1,5,1,9
1875,2,1,5,1,9
1880,2,1,5,1,9
1885,2,1,5,1,9
1890,2,1,5,1,9
1895,2,1,5,1,9
1900,2,1,5,1,9
1905,2,1,5,1,9
1910,2,1,5,1,9
1915,2,1,5,1,9
1920,2,1,5,1,9
1925,2,1,5,1,9
1930,2,1,5,1,9
1935,2,1,5,1,9
1940,2,1,5,1,9
1945,2,1,5,1,9
1950,2,1,5,1,9
1955,2,1,5,1,9
1960,2,1,5,1,9
1965,2,1,5,1,9
1970,2,1,5,1,9
1975,2,1,5,1,9
1980,2,1,5,1,9
1985,2,1,5,1,9
1990,2,1,5,1,9
1995,2,1,5,1,9
2000,2,1,5,1,9
2005,2,1,5,1,9
2011,2,1,5,1,9
2016,2,1,5,1,9
2021,2,1,5,1,9
2026,2,1,5,1,9
2031,2,1,5,1,9
2036,2,1,5,1,9
2041,2,1,5,1,9
2046,2,1,5,1,9
2051,2,1,5,1,9
2056,2,1,5,1,9
2061,2,1,5,1,9
2066,2,1,5,1,9
2071,2,1,5,1,9
2076,2,1,5,1,9
2081,2,1,5,1,9
2086,2,1,5,1,9
2091,2,1,5,1,9
2096,2,1,5,1,9
2101,2,1,5,1,9
2106,2,1,5,1,9
2111,2,1,5,1,9
2116,2,1,5,1,9
2121,2,1,5,1,9
2126,2,1,5,1,9
2131,2,1,5,1,9
2136,2,1,5,1,9
2141,2,1,5,1,9
2146,2,1,5,1,9
2151,2,1,5,1,9
2156,2,1,5,1,9
2161,2,1,5,1,9
2166,2,1,5,1,9
2171,2,1,5,1,9
2176,2,1,5,1,9
2181,2,1,5,1,9
2186,2,1,5,1,9
2191,2,1,5,1,9
2196,2,1,5,1,9
2201,2,1,5,1,9
2206,2,1,5,1,9
2211,2,1,5,1,9
2216,2,1,5,1,9
2221,2,1,5,1,9
2226,2,1,5,1,9
2231,2,1,5,1,9
2236,2,1,5,1,9
2241,2,1,5,1,9
2246,2,1,5,1,9
2251,2,1,5,1,9
2256,2,1,5,1,9
2261,2,1,5,1,9
2266,2,1,5,1,9
2271,2,1,5,1,9
2276,2,1,5,1,9
2281,2,1,5,1,9
2286,2,1,5,1,9
2291,2,1,5,1,9
2296,2,1,5,1,9
2301,2,1,5,1,9
2306,2,1,5,1,9
2311,2,1,5,1,9
2316,2,1,5,1,9
2321,2,1,5,1,9
2326,2,1,5,1,9
2331,2,1,5,1,9
2336,2,1,5,1,9
2341,2,1,5,1,9
2346,2,1,5,1,9
2351,2,1,5,1,9
2356,2,1,5,1,9
2361,2,1,5,1,9
2366,2,1,5,1,9
2371,2,1,5,1,9
2376,2,1,5,1,9
2381,2,1,5,1,9
2386,2,1,5,1,9
2391,2,1,5,1,9
2396,2,1,5,1,9
2401,2,1,5,1,9
2406,2,1,5,1,9
2411,2,1,5,1,9
2416,2,1,5,1,9
2421,2,1,5,1,9
2426,2,1,5,1,9
2431,2,1,5,1,9
2436,2,1,5,1,9
2441,2,1,5,1,9
2446,2,1,5,1,9
2451,2,1,5,1,9
2456,2,1,5,1,9
2461,2,1,5,1,9
2466,2,1,5,1,9
2471,2,1,5,1,9
2476,2,1,5,1,9
2481,2,1,5,1,9
2486,2,1,5,1,9
2491,2,1,5,1,9
2496,2,1,5,1,9
2501,2,1,5,1,9
2506,2,1,5,1,9
2511,2,1,5,1,9
2516,2,1,5,1,9
2521,2,1,5,1,9
2526,2,1,5,1,9
2531,2,1,5,1,9
2536,2,1,5,1,9
2541,2,1,5,1,9
2546,2,1,5,1,9
2551,2,1,5,1,9
2556,2,1,5,1,9
2561,2,1,5,1,9
2566,2,1,5,1,9
2571,2,1,5,1,9
2576,2,1,5,1,9
2581,2,1,5,1,9
2586,2,1,5,1,9
2591,2,1,5,1,9
2596,2,1,5,1,9
2601,2,1,5,1,9
2606,2,1,5,1,9
2611,2,1,5,1,9
2616,2,1,5,1,9
2621,2,1,5,1,9
2626,2,1,5,1,9
2631,2,1,5,1,9
2636,2,1,5,1,9
2641,2,1,5,1,9
2646,2,1,5,1,9
2651,2,1,5,1,9
2656,2,1,5,1,9
2661,2,1,5,1,9
2666,2,1,5,1,9
2671,2,1,5,1,9
2676,2,1,5,1,9
2681,2,1,5,1,9
2686,2,1,5,1,9
2691,2,1,5,1,9
2696,2,1,5,1,9
2701,2,1,5,1,9
2706,2,1,5,1,9
2711,2,1,5,1,9
2716,2,1,5,1,9
2721,2,1,5,1,9
2726,2,1,5,1,9
2731,2,1,5,1,9
2736,2,1,5,1,9
2741,2,1,5,1,9
2746,2,1,5,1,9
2751,2,1,5,1,9
2756,2,1,5,1,9
2761,2,1,5,1,9
2766,2,1,5,1,9
2771,2,1,5,1,9
2776,2,1,5,1,9
2781,2,1,5,1,9
2786,2,1,5,1,9
2791,2,1,5,1,9
2796,2,1,5,1,9
2801,2,1,5,1,9
2806,2,1,5,1,9
2811,2,1,5,1,9
2816,2,1,5,1,9
2821,2,1,5,1,9
2826,2,1,5,1,9
2831,2,1,5,1,9
2836,2,1,5,1,9
2841,2,1,5,1,9
2846,2,1,5,1,9
2851,2,1,5,1,9
2856,2,1,5,1,9
2861,2,1,5,1,9
2866,2,1,5,1,9
2871,2,1,5,1,9
2876,2,1,5,1,9
2881,2,1,5,1,9
2886,2,1,5,1,9
2891,2,1,5,1,9
2896,2,1,5,1,9
2901,2,1,5,1,9
2906,2,1,5,1,9
2911,2,1,5,1,9
2916,2,1,5,1,9
2921,2,1,5,1,9
2926,2,1,5,1,9
2931,2,1,5,1,9
2936,2,1,5,1,9
2941,2,1,5,1,9
2946,2,1,5,1,9
2951,2,1,5,1,9
2956,2,1,5,1,9
2961,2,1,5,1,9
2966,2,1,5,1,9
2971,2,1,5,1,9
2976,2,1,5,1,9
2981,2,1,5,1,9
2986,2,1,5,1,9
2991,2,1,5,1,9
2996,2,1,5,1,9
3001,2,1,5,1,9
3006,2,1,5,1,9
3011,2,1,5,1,9
3016,2,1,5,1,9
3021,2,1,5,1,9
3026,2,1,5,1,9
3031,2,1,5,1,9
3036,2,1,5,1,9
3041,2,1,5,1,9
3046,2,1,5,1,9
3051,2,1,5,1,9
3056,2,1,5,1,9
3061,2,1,5,1,9
3066,2,1,5,1,9
3071,2,1,5,1,9
3076,2,1,5,1,9
3081,2,1,5,1,9
3086,2,1,5,1,9
3091,2,1,5,1,9
3096,2,1,5,1,9
3101,2,1,5,1,9
3106,2,1,5,1,9
3111,2,1,5,1,9
3116,2,1,5,1,9
3121,2,1,5,1,9
3126,2,1,5,1,9
3131,2,1,5,1,9
3136,2,1,5,1,9
3141,2,1,5,1,9
3146,2,1,5,1,9
3151,2,1,5,1,9
3156,2,1,5,1,9
3161,2,1,5,1,9
3166,2,1,5,1,9
3171,2,1,5,1,9
3176,2,1,5,1,9
3181,2,1,5,1,9
3186,2,1,5,1,9
3191,2,1,5,1,9
3196,2,1,5,1,9
3201,2,1,5,1,9
3206,2,1,5,1,9
3211,2,1,5,1,9
3216,2,1,5,1,9
3221,2,1,5,1,9
3226,2,1,5,1,9
3231,2,1,5,1,9
3236,2,1,5,1,9
3241,2,1,5,1,9
3246,2,1,5,1,9
3251,2,1,5,1,9
3256,2,1,5,1,9
3261,2,1,5,1,9
3266,2,1,5,1,9
3271,2,1,5,1,9
3276,2,1,5,1,9
3281,2,1,5,1,9
3286,2,1,5,1,9
3291,2,1,5,1,9
