14:08:42	CPU	%user	nice	%system	%iowait	%steal	%idle
14:11:25	all	3,29	0,00	1,90	0,13	0,00	94,68
14:11:26	all	5,65	0,00	3,14	0,00	0,00	91,22
14:11:27	all	3,92	0,00	1,39	0,13	0,00	94,56
14:11:28	all	4,70	0,00	2,41	0,00	0,00	92,88
14:11:29	all	2,30	0,00	1,91	0,38	0,00	95,41
14:11:30	all	4,42	0,00	3,16	0,00	0,00	92,41
14:11:31	all	3,44	0,00	2,55	0,00	0,00	94,01
14:11:32	all	4,69	0,00	1,65	0,00	0,00	93,66
14:11:33	all	5,18	0,00	2,78	0,13	0,00	91,92
14:11:34	all	3,17	0,00	2,28	0,13	0,00	94,42
14:11:35	all	5,04	0,00	3,15	0,00	0,00	91,80
14:11:36	all	2,54	0,00	2,04	0,00	0,00	95,42
14:11:37	all	5,07	0,00	3,17	0,00	0,00	91,76
14:11:38	all	3,42	0,00	1,90	0,00	0,00	94,68
14:11:39	all	5,05	0,00	2,65	0,38	0,00	91,92
14:11:40	all	4,01	0,00	3,13	0,00	0,00	92,87
14:11:41	all	4,29	0,00	2,27	0,13	0,00	93,32
14:11:42	all	5,18	0,00	2,78	0,00	0,00	92,04
14:11:43	all	3,18	0,00	1,78	0,00	0,00	95,04
14:11:44	all	4,91	0,00	3,27	0,25	0,00	91,56
14:11:45	all	3,17	0,00	1,78	0,00	0,00	95,05
14:11:46	all	4,78	0,00	3,40	0,00	0,00	91,82
14:11:47	all	3,03	0,00	2,15	0,13	0,00	94,69
14:11:48	all	5,32	0,00	2,53	0,00	0,00	92,15
14:11:49	all	3,04	0,00	3,30	0,38	0,00	93,28
14:11:50	all	4,57	0,00	1,27	0,00	0,00	94,16
14:11:51	all	4,65	0,00	3,89	0,00	0,00	91,46
14:11:52	all	3,66	0,00	1,64	0,00	0,00	94,70
14:11:53	all	5,31	0,00	2,53	0,13	0,00	92,04
14:11:54	all	2,79	0,00	2,03	0,25	0,00	94,93
14:11:55	all	4,42	0,00	3,16	0,00	0,00	92,41
14:11:56	all	2,42	0,00	1,91	0,00	0,00	95,67
14:11:57	all	5,56	0,00	2,40	0,13	0,00	91,91
14:11:58	all	4,53	0,00	3,15	0,00	0,00	92,32
14:11:59	all	4,96	0,00	1,52	0,25	0,00	93,27
14:12:00	all	4,91	0,00	2,90	0,00	0,00	92,19
14:12:01	all	3,04	0,00	1,77	0,13	0,00	95,06
14:12:02	all	4,45	0,00	2,67	0,00	0,00	92,88
14:12:03	all	3,30	0,00	1,90	0,13	0,00	94,68
14:12:04	all	4,91	0,00	3,40	0,25	0,00	91,45
14:12:05	all	2,78	0,00	2,02	0,00	0,00	95,20
14:12:06	all	4,94	0,00	2,53	0,13	0,00	92,40
14:12:07	all	3,04	0,00	3,17	0,00	0,00	93,79
14:12:08	all	4,21	0,00	1,28	0,13	0,00	94,38
14:12:09	all	4,68	0,00	3,03	0,25	0,00	92,04
14:12:10	all	3,03	0,00	2,40	0,00	0,00	94,58
14:12:11	all	5,40	0,00	3,14	0,00	0,00	91,46
14:12:12	all	2,80	0,00	2,04	0,00	0,00	95,17
14:12:13	all	5,28	0,00	3,39	0,00	0,00	91,33
14:12:14	all	2,92	0,00	2,03	0,38	0,00	94,68
14:12:15	all	4,69	0,00	2,92	0,00	0,00	92,40
14:12:16	all	3,52	0,00	3,52	0,00	0,00	92,96
14:12:17	all	4,56	0,00	1,65	0,00	0,00	93,79
14:12:18	all	4,96	0,00	2,92	0,13	0,00	91,99
14:12:19	all	3,16	0,00	2,03	0,25	0,00	94,56
14:12:20	all	4,68	0,00	3,42	0,00	0,00	91,90
14:12:21	all	2,66	0,00	2,28	0,00	0,00	95,06
14:12:22	all	4,41	0,00	3,78	0,00	0,00	91,80
14:12:23	all	3,17	0,00	1,78	0,00	0,00	95,05
14:12:24	all	3,81	0,00	3,43	0,25	0,00	92,51
14:12:25	all	3,79	0,00	2,40	0,00	0,00	93,81
14:12:26	all	3,82	0,00	1,65	0,00	0,00	94,53
14:12:27	all	5,55	0,00	2,40	0,00	0,00	92,06
14:12:28	all	3,04	0,00	2,28	0,13	0,00	94,55
14:12:29	all	4,70	0,00	2,41	0,38	0,00	92,50
14:12:30	all	2,66	0,00	2,03	0,00	0,00	95,30
14:12:31	all	4,92	0,00	3,03	0,00	0,00	92,06
14:12:32	all	2,53	0,00	2,28	0,13	0,00	95,07
14:12:33	all	6,00	0,00	2,81	0,00	0,00	91,19
14:12:34	all	3,29	0,00	3,29	0,13	0,00	93,30
14:12:35	all	4,78	0,00	1,64	0,00	0,00	93,58
14:12:36	all	4,92	0,00	2,90	0,13	0,00	92,05
14:12:37	all	2,18	0,00	1,79	0,00	0,00	96,03
14:12:38	all	4,82	0,00	3,17	0,13	0,00	91,89
14:12:39	all	2,17	0,00	1,79	0,26	0,00	95,78
14:12:40	all	3,93	0,00	3,30	0,13	0,00	92,64
14:12:41	all	2,54	0,00	1,65	0,00	0,00	95,80
14:12:42	all	4,95	0,00	2,28	0,00	0,00	92,77
14:12:43	all	3,53	0,00	3,53	0,00	0,00	92,95
14:12:44	all	4,55	0,00	1,52	0,25	0,00	93,69
14:12:45	all	4,82	0,00	2,79	0,00	0,00	92,40
14:12:46	all	3,29	0,00	1,77	0,00	0,00	94,94
14:12:47	all	5,66	0,00	3,52	0,00	0,00	90,82
14:12:48	all	2,56	0,00	1,79	0,00	0,00	95,65
14:12:49	all	4,91	0,00	3,15	0,38	0,00	91,56
14:12:50	all	2,29	0,00	1,66	0,00	0,00	96,05
14:12:51	all	4,29	0,00	3,16	0,00	0,00	92,55
14:12:52	all	3,05	0,00	2,54	0,00	0,00	94,40
14:12:53	all	4,54	0,00	1,89	0,13	0,00	93,44
14:12:54	all	5,44	0,00	2,41	0,25	0,00	91,90
14:12:55	all	2,93	0,00	1,78	0,00	0,00	95,29
14:12:56	all	4,82	0,00	2,92	0,00	0,00	92,27
14:12:57	all	3,14	0,00	2,51	0,13	0,00	94,22
14:12:58	all	4,79	0,00	3,15	0,00	0,00	92,06
14:12:59	all	3,05	0,00	1,78	0,25	0,00	94,92
14:13:00	all	4,56	0,00	2,66	0,00	0,00	92,78
14:13:01	all	3,03	0,00	3,16	0,13	0,00	93,69
14:13:02	all	4,69	0,00	1,27	0,13	0,00	93,92
14:13:03	all	4,83	0,00	3,05	0,00	0,00	92,12
14:13:04	all	2,43	0,00	1,79	0,38	0,00	95,40
